container_id,arrival_time,flow_type,teu_size,crane_start,crane_end,yard_entry_time,pickup_request_time,scanner_queue_len_at_pickup,loader_queue_len_at_pickup,yard_exit_time,yard_to_scan_queue_enter,yard_to_scan_start,occupancy_at_yard_to_scan,yard_to_scan_end,scan_queue_enter,scan_start,scan_end,ready_time,gate_in_queue_enter,gate_in_start,gate_in_end,pickup_time,yard_to_truck_queue_enter,yard_to_truck_start,yard_to_truck_end,occupancy_at_yard_to_truck,loading_queue_enter,loading_start,loading_end,gate_queue_enter,gate_start,gate_out_exit_time,exit_time,total_time,yard_dwell,dwell_terminal,scan_wait,yard_to_scan_wait,yard_to_truck_wait,ready_to_pickup_wait,loading_wait,gate_wait,pre_pickup_wait,yard_equipment_wait,dwell_terminal_days,pre_pickup_wait_hours
S0,0.32270636034175654,IMPORT,2,0.32270636034175654,2.3227063603417566,2.3227063603417566,29.067039502527265,0.0,0.0,29.067039502527265,29.067039502527265,29.067039502527265,0.04,31.976682225064224,31.976682225064224,31.976682225064224,36.97668222506422,36.97668222506422,31.37811954107074,31.37811954107074,32.49825186598055,36.97668222506422,36.97668222506422,36.97668222506422,39.33356487659608,0.052,39.33356487659608,39.33356487659608,51.35023440792534,51.35023440792534,51.35023440792534,52.435533735322096,52.435533735322096,52.11282737498034,26.74433314218551,50.11282737498034,0.0,0.0,0.0,0.0,0.0,0.0,26.74433314218551,0.0,0.03480057456595857,0.44573888570309184
E1,10.31436165666159,EXPORT,2,,,11.386381625772298,40.14773160081458,,,40.14773160081458,,,,,,,,,10.31436165666159,10.31436165666159,11.386381625772298,,40.14773160081458,40.14773160081458,42.9997055814385,0.044,42.9997055814385,42.9997055814385,55.274187938798654,,,,55.274187938798654,44.959826282137065,28.761349975042283,43.88780631302636,,,0.0,,0.0,,28.761349975042283,0.0,0.030477643272934972,0.4793558329173714
E2,13.689408625777563,EXPORT,2,,,14.675818155188633,48.89332459833874,,,48.89332459833874,,,,,,,,,13.689408625777563,13.689408625777563,14.675818155188633,,48.89332459833874,48.89332459833874,51.434769990317236,0.044,51.434769990317236,51.434769990317236,62.67996671651402,,,,62.67996671651402,48.99055809073646,34.2175064431501,48.004148561325394,,,0.0,,0.0,,34.2175064431501,0.0,0.03333621427869819,0.5702917740525016
S5,46.40508780983893,TRANSSHIP,2,46.40508780983893,48.40508780983893,48.40508780983893,59.272987415908474,0.0,0.0,59.272987415908474,,,,,,,,,,,,,59.272987415908474,59.272987415908474,62.60640396020223,0.056,62.60640396020223,62.67996671651402,70.74439579827813,,,,70.74439579827813,24.339307988439202,10.867899606069543,22.339307988439202,,,0.0,,0.07356275631179443,,10.867899606069543,0.0,0.015513408325305001,0.18113166010115905
E0,1.0946866243679587,EXPORT,1,,,2.394102013384849,55.77374147628038,,,55.77374147628038,,,,,,,,,1.0946866243679587,1.0946866243679587,2.394102013384849,,55.77374147628038,55.77374147628038,59.73747177579086,0.052,59.73747177579086,59.73747177579086,71.74406878119429,,,,71.74406878119429,70.64938215682633,53.379639462895526,69.34996676780943,,,0.0,,0.0,,53.379639462895526,0.0,0.048159699144312104,0.8896606577149254
S3,30.883735275465227,TRANSSHIP,1,30.883735275465227,32.88373527546523,32.88373527546523,65.65080056157521,0.0,1.0,65.65080056157521,,,,,,,,,,,,,65.65080056157521,65.65080056157521,68.83125305221607,0.056,68.83125305221607,71.74406878119429,81.97032737789358,,,,81.97032737789358,51.086592102428355,32.76706528610998,49.086592102428355,,,0.0,,2.9128157289782166,,32.76706528610998,0.0,0.034087911182241915,0.5461177547684997
S2,28.359085604883504,TRANSSHIP,1,28.359085604883504,30.359085604883504,30.359085604883504,60.90058464811184,0.0,0.0,60.90058464811184,,,,,,,,,,,,,60.90058464811184,60.90058464811184,63.55973814914662,0.056,63.55973814914662,70.74439579827813,82.45355455233647,,,,82.45355455233647,54.09446894745297,30.541499043228335,52.09446894745297,,,0.0,,7.184657649131516,,30.541499043228335,0.0,0.03617671454684234,0.5090249840538056
E6,73.21494473267109,EXPORT,2,,,74.5268447897368,100.24276613066647,,,100.24276613066647,,,,,,,,,73.21494473267109,73.21494473267109,74.5268447897368,,100.24276613066647,100.24276613066647,103.13067348823665,0.112,103.13067348823665,103.13067348823665,115.36228104067166,,,,115.36228104067166,42.147336308000575,25.71592134092967,40.83543625093486,,,0.0,,0.0,,25.71592134092967,0.0,0.02835794184092699,0.42859868901549447
S16,93.05021738666524,TRANSSHIP,2,93.05021738666524,95.05021738666524,95.05021738666524,113.45172078979824,1.0,0.0,113.45172078979824,,,,,,,,,,,,,113.45172078979824,113.45172078979824,116.15119579555758,0.128,116.15119579555758,116.15119579555758,126.20897814089354,,,,126.20897814089354,33.1587607542283,18.401503403133006,31.158760754228297,,,0.0,,0.0,,18.401503403133006,0.0,0.02163802830154743,0.3066917233855501
S21,105.20626851457875,TRANSSHIP,1,105.20626851457875,107.20626851457875,107.20626851457875,119.72513181164175,0.0,0.0,119.72513181164175,,,,,,,,,,,,,119.72513181164175,119.72513181164175,122.2249005172053,0.128,122.2249005172053,122.2249005172053,133.40500307334582,,,,133.40500307334582,28.19873455876707,12.518863297062993,26.19873455876707,,,0.0,,0.0,,12.518863297062993,0.0,0.018193565665810468,0.20864772161771655
E8,85.20400197186112,EXPORT,1,,,86.24432081288363,118.89131669625944,,,118.89131669625944,,,,,,,,,85.20400197186112,85.20400197186112,86.24432081288363,,118.89131669625944,118.89131669625944,122.70292164920562,0.128,122.70292164920562,126.20897814089354,133.7828231295452,,,,133.7828231295452,48.578821157684075,32.64699588337581,47.538502316661564,,,0.0,,3.5060564916879144,,32.64699588337581,0.0,0.033012848831014976,0.5441165980562634
S1,14.210584265513225,IMPORT,2,14.210584265513225,16.210584265513226,16.210584265513226,87.48474275453259,0.0,0.0,87.48474275453259,87.48474275453259,87.48474275453259,0.084,90.92294091425038,90.92294091425038,95.36647873369236,100.36647873369236,100.36647873369236,119.37090836180067,119.37090836180067,120.7270174858785,120.7270174858785,120.7270174858785,120.7270174858785,123.5633874474278,0.128,123.5633874474278,133.40500307334582,143.71221121431427,143.71221121431427,143.71221121431427,144.5637466384438,144.5637466384438,130.35316237293057,71.27415848901936,128.35316237293057,4.4435378194419854,0.0,0.0,20.360538752186145,9.841615625918024,0.0,71.27415848901936,0.0,0.08913414053675733,1.187902641483656
S15,92.87822752389192,TRANSSHIP,1,92.87822752389192,94.87822752389192,94.87822752389192,125.7873823452768,0.0,2.0,125.7873823452768,,,,,,,,,,,,,125.7873823452768,125.7873823452768,129.73080309476236,0.116,129.73080309476236,133.7828231295452,145.52942967710814,,,,145.52942967710814,52.65120215321622,30.909154821384874,50.65120215321622,,,0.0,,4.052020034782828,,30.909154821384874,0.0,0.035174445939733484,0.5151525803564145
S23,110.98201930567893,TRANSSHIP,1,110.98201930567893,112.98201930567893,112.98201930567893,128.41875191651076,0.0,1.0,128.41875191651076,,,,,,,,,,,,,128.41875191651076,128.41875191651076,131.83437306870292,0.124,131.83437306870292,143.71221121431427,151.20814283820064,,,,151.20814283820064,40.22612353252171,15.436732610831825,38.22612353252171,,,0.0,,11.87783814561135,,15.436732610831825,0.0,0.026545919119806746,0.2572788768471971
E3,24.613096578604456,EXPORT,1,,,25.55918096405879,129.34294538357224,,,129.34294538357224,,,,,,,,,24.613096578604456,24.613096578604456,25.55918096405879,,129.34294538357224,129.34294538357224,133.20892207772943,0.128,133.20892207772943,145.52942967710814,156.54830061744232,,,,156.54830061744232,131.93520403883787,103.78376441951346,130.98911965338354,,,0.0,,12.320507599378715,,103.78376441951346,0.0,0.0909646664259608,1.729729406991891
S9,59.830222415226,IMPORT,2,59.830222415226,61.830222415226,61.830222415226,88.93145135378359,0.0,0.0,88.93145135378359,88.93145135378359,88.93145135378359,0.084,92.72284929452265,92.72284929452265,105.36647873369236,110.36647873369236,110.36647873369236,131.32745240529698,131.32745240529698,132.5895042960527,132.5895042960527,132.5895042960527,132.5895042960527,135.66413956777538,0.14,135.66413956777538,151.20814283820064,163.2633159046861,163.2633159046861,163.2633159046861,164.51914139263832,164.51914139263832,104.68891897741233,27.10122893855759,102.68891897741233,12.643629439169715,0.0,0.0,22.223025562360334,15.544003270425264,0.0,27.10122893855759,0.0,0.07131174928986968,0.45168714897595985
S19,101.62321330342165,TRANSSHIP,1,101.62321330342165,103.62321330342165,103.62321330342165,139.34481438757842,0.0,3.0,139.34481438757842,,,,,,,,,,,,,139.34481438757842,139.34481438757842,142.63486354968958,0.132,142.63486354968958,156.54830061744232,169.2184510852357,,,,169.2184510852357,67.59523778181405,35.721601084156774,65.59523778181405,,,0.0,,13.913437067752739,,35.721601084156774,0.0,0.04555224845959309,0.5953600180692795
E7,76.4289245588077,EXPORT,1,,,77.25999014935768,162.85316184456877,,,162.85316184456877,,,,,,,,,76.4289245588077,76.4289245588077,77.25999014935768,,162.85316184456877,162.85316184456877,166.36313885150193,0.148,166.36313885150193,166.36313885150193,175.76651266640727,,,,175.76651266640727,99.33758810759957,85.5931716952111,98.50652251704959,,,0.0,,0.0,,85.5931716952111,0.0,0.06840730730350666,1.4265528615868517
E4,53.66283929598954,EXPORT,2,,,54.67658559750776,165.5919131611857,,,165.5919131611857,,,,,,,,,53.66283929598954,53.66283929598954,54.67658559750776,,165.5919131611857,165.5919131611857,168.47386534727445,0.148,168.47386534727445,169.2184510852357,177.09598037405198,,,,177.09598037405198,123.43314107806243,110.91532756367792,122.41939477654421,,,0.0,,0.7445857379612448,,110.91532756367792,0.0,0.08501346859482237,1.8485887927279654
E9,114.90203221748394,EXPORT,1,,,115.92297444662773,171.79003011351722,,,171.79003011351722,,,,,,,,,114.90203221748394,114.90203221748394,115.92297444662773,,171.79003011351722,171.79003011351722,175.26912122784992,0.14,175.26912122784992,175.76651266640727,188.26253432954866,,,,188.26253432954866,73.36050211206472,55.867055666889485,72.33955988292092,,,0.0,,0.4973914385573437,,55.867055666889485,0.0,0.05023580547425064,0.9311175944481581
E5,65.53942343506601,EXPORT,1,,,66.54054508236595,174.92855889465494,,,174.92855889465494,,,,,,,,,65.53942343506601,65.53942343506601,66.54054508236595,,174.92855889465494,174.92855889465494,178.63825975840166,0.148,178.63825975840166,178.63825975840166,188.804021997648,,,,188.804021997648,123.26459856258198,108.38801381228899,122.26347691528204,,,0.0,,0.0,,108.38801381228899,0.0,0.08490519230227919,1.8064668968714832
S31,156.8063200250078,TRANSSHIP,1,156.8063200250078,158.8063200250078,158.8063200250078,184.39230741519438,0.0,0.0,184.39230741519438,,,,,,,,,,,,,184.39230741519438,184.39230741519438,188.24934900378867,0.168,188.24934900378867,188.26253432954866,196.7232363879834,,,,196.7232363879834,39.9169163629756,25.585987390186574,37.9169163629756,,,0.0,,0.013185325759991429,,25.585987390186574,0.0,0.026331191918733055,0.4264331231697762
E14,171.55156532560304,EXPORT,2,,,172.7531065484742,196.9372765596609,,,196.9372765596609,,,,,,,,,171.55156532560304,171.55156532560304,172.7531065484742,,196.9372765596609,196.9372765596609,200.8928602843656,0.192,200.8928602843656,200.8928602843656,211.442853785547,,,,211.442853785547,39.89128845994395,24.184170011186694,38.689747237072794,,,0.0,,0.0,,24.184170011186694,0.0,0.026867880025744997,0.4030695001864449
S37,183.93193426773135,TRANSSHIP,1,183.93193426773135,185.93193426773135,185.93193426773135,203.37744152797828,0.0,0.0,203.37744152797828,,,,,,,,,,,,,203.37744152797828,203.37744152797828,207.30074870198968,0.188,207.30074870198968,207.30074870198968,219.05671376941,,,,219.05671376941,35.12477950167866,17.445507260246927,33.12477950167866,,,0.0,,0.0,,17.445507260246927,0.0,0.02300331909838796,0.2907584543374488
S40,186.28530488671052,TRANSSHIP,1,186.7398381419724,188.7398381419724,188.7398381419724,206.51019656244574,0.0,0.0,206.51019656244574,,,,,,,,,,,,,206.51019656244574,206.51019656244574,209.72303598428948,0.208,209.72303598428948,211.442853785547,219.28383374015272,,,,219.28383374015272,32.998528853442195,17.770358420473343,30.543995598180317,,,0.0,,1.7198178012575056,,17.770358420473343,0.0,0.021211108054291886,0.29617264034122237
S34,178.00683217317734,TRANSSHIP,2,178.00683217317734,180.00683217317734,180.00683217317734,208.69889636765893,0.0,0.0,208.69889636765893,,,,,,,,,,,,,208.69889636765893,208.69889636765893,212.39550395653959,0.212,212.39550395653959,219.28383374015272,230.9652390264673,,,,230.9652390264673,52.958406853289944,28.69206419448159,50.958406853289944,,,0.0,,6.8883297836131305,,28.69206419448159,0.0,0.035387782537006904,0.47820106990802647
E13,164.67890346068592,EXPORT,1,,,165.78710910664506,206.95011447128962,,,206.95011447128962,,,,,,,,,164.67890346068592,164.67890346068592,165.78710910664506,,206.95011447128962,206.95011447128962,210.82287784416505,0.212,210.82287784416505,219.05671376941,231.6327511542899,,,,231.6327511542899,66.95384769360399,41.16300536464456,65.84564204764484,,,0.0,,8.23383592524496,,41.16300536464456,0.0,0.04572614031086448,0.6860500894107427
E10,115.54835382921745,EXPORT,1,,,117.18304975573753,212.5544456956763,,,212.5544456956763,,,,,,,,,115.54835382921745,115.92297444662773,117.18304975573753,,212.5544456956763,212.5544456956763,216.31855520942705,0.212,216.31855520942705,230.9652390264673,239.359011074885,,,,239.359011074885,123.81065724566754,95.37139593993876,122.17596131914746,,,0.0,,14.646683817040241,,95.37139593993876,0.0,0.08484441758274129,1.5895232656656462
S41,191.67635125841073,TRANSSHIP,2,191.67635125841073,193.67635125841073,193.67635125841073,214.86886064977367,0.0,2.0,214.86886064977367,,,,,,,,,,,,,214.86886064977367,214.86886064977367,217.9333785268141,0.212,217.9333785268141,231.6327511542899,242.6999856683966,,,,242.6999856683966,51.023634409985874,21.192509391362933,49.023634409985874,,,0.0,,13.69937262747581,,21.192509391362933,0.0,0.03404419056249019,0.35320848985604886
E12,157.1192786967837,EXPORT,2,,,157.88218371021577,222.1534252952777,,,222.1534252952777,,,,,,,,,157.1192786967837,157.1192786967837,157.88218371021577,,222.1534252952777,222.1534252952777,226.04314812413412,0.216,226.04314812413412,239.359011074885,247.4782828374948,,,,247.4782828374948,90.35900414071108,64.27124158506194,89.59609912727902,,,0.0,,13.31586295075087,,64.27124158506194,0.0,0.06221951328283265,1.0711873597510324
S45,203.0724645757859,TRANSSHIP,2,203.0724645757859,205.0724645757859,205.0724645757859,224.83914162255954,2.0,2.0,224.83914162255954,,,,,,,,,,,,,224.83914162255954,224.83914162255954,227.56050471370034,0.216,227.56050471370034,242.6999856683966,248.82930382377384,,,,248.82930382377384,45.756839247987955,19.76667704677365,43.756839247987955,,,0.0,,15.139480954696268,,19.76667704677365,0.0,0.030386693922213857,0.3294446174462275
S49,215.2441592618119,TRANSSHIP,2,215.2441592618119,217.2441592618119,217.2441592618119,233.1749696869948,3.0,2.0,233.1749696869948,,,,,,,,,,,,,233.1749696869948,233.1749696869948,236.7724501981835,0.204,236.7724501981835,247.4782828374948,256.65058178025396,,,,256.65058178025396,41.40642251844207,15.930810425182926,39.40642251844207,,,0.0,,10.705832639311296,,15.930810425182926,0.0,0.02736557119336255,0.2655135070863821
S47,204.23265181379423,TRANSSHIP,1,205.0724645757859,207.0724645757859,207.0724645757859,234.06957054877233,3.0,2.0,234.06957054877233,,,,,,,,,,,,,234.06957054877233,234.06957054877233,237.69184977939304,0.208,237.69184977939304,248.82930382377384,261.4592860773672,,,,261.4592860773672,57.226634263572976,26.997105972986446,54.38682150158132,,,0.0,,11.137454044380803,,26.997105972986446,0.0,0.037768626042764805,0.4499517662164408
E11,128.81408600695565,EXPORT,2,,,130.16033713559472,239.3136000650241,,,239.3136000650241,,,,,,,,,128.81408600695565,128.81408600695565,130.16033713559472,,239.3136000650241,239.3136000650241,242.28308871190174,0.196,242.28308871190174,256.65058178025396,269.164344403654,,,,269.164344403654,140.35025839669837,109.15326292942939,139.0040072680593,,,0.0,,14.367493068352218,,109.15326292942939,0.0,0.09653056060281896,1.8192210488238232
E17,207.7802764642186,EXPORT,2,,,210.07271392211908,249.94525967037657,,,249.94525967037657,,,,,,,,,207.7802764642186,208.99518586864696,210.07271392211908,,249.94525967037657,249.94525967037657,253.7426717527019,0.196,253.7426717527019,261.4592860773672,273.7638276331765,,,,273.7638276331765,65.98355116895792,39.872545748257494,63.691113711057426,,,0.0,,7.716614324665301,,39.872545748257494,0.0,0.04422994007712321,0.6645424291376248
S6,52.844056209464604,IMPORT,2,52.844056209464604,54.844056209464604,54.844056209464604,124.59784920202208,0.0,2.0,124.59784920202208,124.59784920202208,124.59784920202208,0.116,127.73316239686419,127.73316239686419,127.73316239686419,132.7331623968642,132.7331623968642,262.4280623365232,262.4280623365232,263.3035574053557,263.3035574053557,263.3035574053557,263.3035574053557,266.41770725517364,0.196,266.41770725517364,269.164344403654,280.30187535211536,280.30187535211536,280.30187535211536,281.0810697258707,281.0810697258707,228.23701351640608,69.75379299255746,226.23701351640608,0.0,0.0,0.0,130.57039500849152,2.7466371484803744,0.0,69.75379299255746,0.0,0.15710903716417088,1.1625632165426245
E18,220.26227030864183,EXPORT,2,,,221.62825818680594,268.67329214927594,,,268.67329214927594,,,,,,,,,220.26227030864183,220.26227030864183,221.62825818680594,,268.67329214927594,268.67329214927594,272.08395723717064,0.196,272.08395723717064,273.7638276331765,284.8310550827385,,,,284.8310550827385,64.56878477409666,47.04503396247,63.20279689593255,,,0.0,,1.6798703960058674,,47.04503396247,0.0,0.04389083117773094,0.7840838993745
